FUNC __main__.calculate_z_serial_purepython 67.9414 1626906055.8938 68.0547 1626906055.9568 0
CMDLINE /Users/zhewang/anaconda3/envs/py39/bin/python src/julia_set_memory_profiler.py
MEM 0.011719 1626906055.2185
MEM 16.945312 1626906055.3192
MEM 29.054688 1626906055.4205
MEM 38.343750 1626906055.5209
MEM 47.722656 1626906055.6219
MEM 57.546875 1626906055.7223
MEM 62.390625 1626906055.8235
MEM 68.035156 1626906055.9241
MEM 65.816406 1626906056.0293
